MSVC_x86\err_gauss__\terminate_________\0\bench.exe,happy,1,7.9595
MSVC_x86\err_gauss__\terminate_________\0\bench.exe,happy,16,79.7372
MSVC_x86\err_gauss__\terminate_________\0\bench.exe,sad,1,0.0000
MSVC_x86\err_gauss__\terminate_________\0\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\1\bench.exe,happy,1,7.6716
MSVC_x86\err_gauss__\terminate_________\1\bench.exe,happy,16,81.2661
MSVC_x86\err_gauss__\terminate_________\1\bench.exe,sad,1,0.0000
MSVC_x86\err_gauss__\terminate_________\1\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\2\bench.exe,happy,1,8.4011
MSVC_x86\err_gauss__\terminate_________\2\bench.exe,happy,16,81.3942
MSVC_x86\err_gauss__\terminate_________\2\bench.exe,sad,1,0.0000
MSVC_x86\err_gauss__\terminate_________\2\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\3\bench.exe,happy,1,8.3579
MSVC_x86\err_gauss__\terminate_________\3\bench.exe,happy,16,81.6398
MSVC_x86\err_gauss__\terminate_________\3\bench.exe,sad,1,0.0000
MSVC_x86\err_gauss__\terminate_________\3\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\4\bench.exe,happy,1,9.0721
MSVC_x86\err_gauss__\terminate_________\4\bench.exe,happy,16,80.8377
MSVC_x86\err_gauss__\terminate_________\4\bench.exe,sad,1,0.0000
MSVC_x86\err_gauss__\terminate_________\4\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\5\bench.exe,happy,1,7.8337
MSVC_x86\err_gauss__\terminate_________\5\bench.exe,happy,16,83.0875
MSVC_x86\err_gauss__\terminate_________\5\bench.exe,sad,1,0.0000
MSVC_x86\err_gauss__\terminate_________\5\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\6\bench.exe,happy,1,8.4097
MSVC_x86\err_gauss__\terminate_________\6\bench.exe,happy,16,79.4891
MSVC_x86\err_gauss__\terminate_________\6\bench.exe,sad,1,0.0000
MSVC_x86\err_gauss__\terminate_________\6\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\7\bench.exe,happy,1,8.2540
MSVC_x86\err_gauss__\terminate_________\7\bench.exe,happy,16,80.6339
MSVC_x86\err_gauss__\terminate_________\7\bench.exe,sad,1,0.0000
MSVC_x86\err_gauss__\terminate_________\7\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\8\bench.exe,happy,1,7.9606
MSVC_x86\err_gauss__\terminate_________\8\bench.exe,happy,16,79.7444
MSVC_x86\err_gauss__\terminate_________\8\bench.exe,sad,1,0.0000
MSVC_x86\err_gauss__\terminate_________\8\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\9\bench.exe,happy,1,8.2638
MSVC_x86\err_gauss__\terminate_________\9\bench.exe,happy,16,83.0409
MSVC_x86\err_gauss__\terminate_________\9\bench.exe,sad,1,0.0000
MSVC_x86\err_gauss__\terminate_________\9\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\10\bench.exe,happy,1,7.6661
MSVC_x86\err_gauss__\terminate_________\10\bench.exe,happy,16,83.1635
MSVC_x86\err_gauss__\terminate_________\10\bench.exe,sad,1,0.0000
MSVC_x86\err_gauss__\terminate_________\10\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\11\bench.exe,happy,1,7.5942
MSVC_x86\err_gauss__\terminate_________\11\bench.exe,happy,16,79.5633
MSVC_x86\err_gauss__\terminate_________\11\bench.exe,sad,1,0.0000
MSVC_x86\err_gauss__\terminate_________\11\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\12\bench.exe,happy,1,7.5020
MSVC_x86\err_gauss__\terminate_________\12\bench.exe,happy,16,78.5929
MSVC_x86\err_gauss__\terminate_________\12\bench.exe,sad,1,0.0000
MSVC_x86\err_gauss__\terminate_________\12\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\13\bench.exe,happy,1,7.7047
MSVC_x86\err_gauss__\terminate_________\13\bench.exe,happy,16,81.7434
MSVC_x86\err_gauss__\terminate_________\13\bench.exe,sad,1,0.0003
MSVC_x86\err_gauss__\terminate_________\13\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\14\bench.exe,happy,1,8.2479
MSVC_x86\err_gauss__\terminate_________\14\bench.exe,happy,16,84.6541
MSVC_x86\err_gauss__\terminate_________\14\bench.exe,sad,1,0.0000
MSVC_x86\err_gauss__\terminate_________\14\bench.exe,sad,16,0.0000
MSVC_x86\err_gauss__\terminate_________\15\bench.exe,happy,1,7.8161
MSVC_x86\err_gauss__\terminate_________\15\bench.exe,happy,16,81.8678
